날짜,종목코드,종목명,상장주식수,상장수_변화율,시가총액,시가총액_변화율,액면분할_flag,증자_flag,소각_flag,시총급변_flag
2008-08-01,081000,일진다이아,2255595,-0.4913394921772639,30112193250.0,-0.5808260629979305,0,0,1,0
2010-09-07,081000,일진다이아,11277975,4.0,130260611250.0,0.15039840637450208,1,0,0,0
2018-05-08,081660,휠라코리아,61115070,4.0,1518709489500.0,-0.04054054054054057,1,0,0,0
2005-08-29,083350,동북아10호,1585660,0.0,7960013200.0,inf,0,0,0,1
2005-08-29,083360,동북아11호,1585660,0.0,7975869800.0,inf,0,0,0,1
2005-08-29,083370,동북아12호,1585660,0.0,7960013200.0,inf,0,0,0,1
2005-08-29,083390,동북아14호,1585660,0.0,7928300000.0,inf,0,0,0,1
2010-05-11,083420,KPX그린케미칼,20000000,9.0,63400000000.0,-0.05514157973174372,1,0,0,0
2009-03-11,084010,대한제강,23798725,4.0,216806384750.0,0.02474690663667034,1,0,0,0
2006-12-22,084670,동양고속,2040000,1.0064383064480436,28356000000.0,0.9234132730777798,1,0,0,0
2008-05-15,084680,C&우방랜드,32876085,4.0,30574759050.0,0.14814814814814814,1,0,0,0
2005-11-25,084690,대상홀딩스,32970616,0.9524531757535073,204417819200.0,0.9063322345939757,0,1,0,0
2011-03-04,085310,엔케이,32126520,0.9813114890585901,182157368400.0,0.8416452693380665,0,1,0,0
2017-07-26,085310,엔케이,79983352,0.6328680813840588,91580938040.0,0.6400297834953923,0,1,0,0
2024-08-02,086280,현대글로비스,75000000,1.0,8655000000000.0,0.8995884773662552,0,1,0,0
2006-01-31,088010,동북아21호,2599920,0.0,13987569600.0,inf,0,0,0,1
2009-01-19,088010,동북아21호,1039968,-0.11111111111111116,5179040640.0,-0.11111111111111116,0,0,1,0
2009-04-16,088010,동북아21호,909972,-0.125,4504361400.0,-0.125,0,0,1,0
2009-07-17,088010,동북아21호,779976,-0.1428571428571429,3849181560.0,-0.1445904954499494,0,0,1,0
2009-10-19,088010,동북아21호,649980,-0.16666666666666663,3201151500.0,-0.16835528537656197,0,0,1,0
2010-01-18,088010,동북아21호,519984,-0.19999999999999996,2553121440.0,-0.20243654822335022,0,0,1,0
2010-04-16,088010,동북아21호,389988,-0.25,1903141440.0,-0.25458248472505096,0,0,1,0
2010-07-16,088010,동북아21호,259992,-0.33333333333333337,1253161440.0,-0.3415300546448088,0,0,1,0
2010-10-15,088010,동북아21호,129996,-0.5,603181440.0,-0.5186721991701244,0,0,1,0
2008-05-06,089470,현대EP,34400000,9.0,86344000000.0,0.09368191721132901,1,0,0,0
2022-11-23,089590,제주항공,76993711,0.5473115897798997,800734594400.0,0.5776510327167603,0,1,0,0
2009-07-22,090080,평화산업,16000000,1.0,18960000000.0,0.9668049792531119,0,1,0,0
2014-05-20,090080,평화산업,37403844,1.33774025,58724035080.0,1.2109952966867468,1,0,0,1
2016-12-21,090370,아비스타,55169808,1.4643332858659788,46177129296.0,1.4012188128868734,1,0,0,1
2017-12-07,090370,아비스타,23005352,0.6539988089665278,56363112400.0,0.6209188327871973,0,1,0,0
2022-07-18,090370,메타랩스,124523448,0.6709297723315217,94015203240.0,0.6820693041470651,0,1,0,0
2015-05-07,090430,아모레퍼시픽,58458490,9.0,22009621485000.0,-0.030638516992790965,1,0,0,0
2015-05-07,090435,아모레퍼시픽우,10557830,9.0,1821225675000.0,-0.07803313735970074,1,0,0,0
2017-04-14,090970,코리아01호,2191080,0.0,7668780000.0,1.5362318840579712,0,0,0,1
2006-07-24,090980,코리아02호,2191080,0.0,11174508000.0,inf,0,0,0,1
2021-08-04,091090,세원이앤씨,145510091,0.9649954065509618,150602944185.0,0.9096434232678363,0,1,0,0
2020-11-26,091810,티웨이항공,91974812,0.9579601936459055,238674637140.0,0.9770064990315659,0,1,0,0
2008-05-14,092200,디아이씨,21700000,9.0,108283000000.0,0.14976958525345618,1,0,0,0
2019-08-27,092200,디아이씨,38888569,0.6213454543892987,90221480080.0,0.60748780093298,0,1,0,0
2009-08-28,092220,KEC,100410980,0.6621312880539265,70287686000.0,0.7628665176329525,0,1,0,0
2013-11-15,092220,KEC,59047384,2.1000259143197826,44108395848.0,1.9462078346016254,1,0,0,1
2016-07-28,092220,KEC,89047384,0.5080665385616405,105075913120.0,0.4953937105065007,0,1,0,0
2010-07-22,092440,기신정기,29200000,1.0,150672000000.0,0.8901098901098901,0,1,0,0
2012-10-15,093230,쉘라인,23957500,1.5,33061350000.0,0.1499999999999999,1,0,0,0
2017-03-02,093230,이아이디,122690174,0.6878508778916941,56069409518.0,0.6273161417647768,0,1,0,0
2018-08-06,093230,이아이디,242188696,0.5913711225963851,68539400968.0,0.580203605946586,0,1,0,0
2019-02-20,093240,형지엘리트,31154798,0.6264748915650271,61374952060.0,0.606093000693285,0,1,0,0
2017-01-16,095570,AJ네트웍스,46822295,4.0,275315094600.0,-0.0953846153846154,1,0,0,0
2019-01-30,095720,웅진씽크빅,76621165,1.21313075397665,254382267800.0,1.3474741543777884,1,0,0,1
2019-04-05,095720,웅진씽크빅,134173248,0.7511251362466231,401848877760.0,0.7540534391500457,0,1,0,0
2020-05-15,095720,웅진씽크빅,117401592,-0.125,311114218800.0,-0.13801115241635686,0,0,1,0
2007-10-30,096760,중외홀딩스,8899914,0.7789595424711706,155748495000.0,0.8475840945546282,0,1,0,0
2009-11-03,096760,중외홀딩스,44775205,4.0,91341418200.0,-0.10526315789473684,1,0,0,0
2024-11-20,096770,SK이노베이션,151034776,0.5776241207684625,17097136643200.0,0.5888527621974193,0,1,0,0
2019-05-22,097230,한진중공업,83274281,4.729958338663106,705333160070.0,4.889896496174334,1,0,0,1
2008-12-23,100840,S&TC,7084612,1.9855086388537715,135316089200.0,1.8583065163963428,1,0,0,1
2024-05-16,100840,SNT에너지,20680783,1.7549725838652908,231831577430.0,1.6305998862972664,1,0,0,1
2008-06-11,101060,SBS홀딩스,13989619,0.7883741012344463,598755693200.0,0.8202713800911845,0,1,0,0
2009-04-13,101060,SBS미디어홀딩스,139896190,9.0,360932170200.0,0.1492204899777283,1,0,0,0
2008-06-20,101140,아티스,3800000,0.8999999999999999,128820000000.0,1.1833898305084745,0,1,0,1
2008-09-30,101140,아티스,38000000,9.0,158270000000.0,0.09894459102902364,1,0,0,0
2023-01-17,101140,인바이오젠,140884330,1.0831110016818148,126514128340.0,1.0994766324469918,1,0,0,1
2016-06-17,101530,해태제과식품,29116822,0.5157322275054217,826917744800.0,0.5237803632266895,0,1,0,0
2011-11-24,101990,파브코,21000000,0.75,28875000000.0,0.8229166666666667,0,1,0,0
2011-05-18,102260,동성홀딩스,24002890,4.0,51606213500.0,-0.0401785714285714,1,0,0,0
2010-05-17,102280,쌍방울트라이,83115210,9.0,75634841100.0,0.14754098360655732,1,0,0,0
2020-08-27,102280,쌍방울,239359627,0.7175679366593024,159892230836.0,0.7124408681916625,0,1,0,0
